COMPONENTE;VERSIÓN;QTY;PART NUMBER;DESCRIPTION;PROVEEDOR;FABRICANTE;PRECIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CD-IND-30-ESINFIN-01;Eje Sinfín;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CD-IND-30-MARF-02;Soporte superior fuelle;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CD-IND-30-PAPET-01;Chapa cubre motor;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CD-IND-30-PIÑONSINFIN-01;Piñón Sinfín RS;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CD-IND-30-PRAB-02;Chapa soporte rabbit;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CD-IND-30-PRPM2-01;Piñón Módulo 2;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CD-IND-30-SINT-03;Soporte patines y eje rotación;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CD-IND-30-TAPV-03;Tapa Variador;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CDR-INSMT-V029-PROLA001;Eje Prolongador;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CDR-INSMT-V029-PROLB001;Pieza cierre;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CDR-INSMT-V029-SS002;Soldadura conjunto superior;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CDR-INSMT-V029-SCS002;Soldadura Enbellecedor superior;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMK_XXXSMT_FFB250_V30_KIT_MET;30;1;CDR-IN-V029-CSI001;Chapa sujeción inductivo;MET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
